epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1960.91,0.6853,0.30028,0.00246,0.94754,0.91142,0.95988,0.7631,0.84851,0.35934,0.00302,0.000841918,0.000841918,0.000841918
82,1984.72,0.71749,0.31666,0.00258,0.94799,0.92246,0.96716,0.74232,0.92519,0.33813,0.00322,0.000839942,0.000839942,0.000839942
83,2008.54,0.69198,0.29052,0.00246,0.9462,0.92025,0.96465,0.74456,0.91997,0.34083,0.00319,0.000837966,0.000837966,0.000837966
84,2032.49,0.70244,0.30787,0.0025,0.95802,0.91224,0.96735,0.75264,0.88849,0.33588,0.00308,0.00083599,0.00083599,0.00083599
85,2056.26,0.7065,0.30711,0.00253,0.96273,0.93091,0.96941,0.73386,0.97173,0.3216,0.00333,0.000834014,0.000834014,0.000834014
86,2080.15,0.67737,0.29838,0.00241,0.94536,0.9108,0.95959,0.75363,0.86973,0.36342,0.00307,0.000832038,0.000832038,0.000832038
87,2104.15,0.6874,0.29302,0.00246,0.97357,0.89875,0.95849,0.72127,0.99224,0.36743,0.00338,0.000830062,0.000830062,0.000830062
88,2127.96,0.70349,0.30357,0.00254,0.93083,0.91339,0.9621,0.74517,0.89979,0.37846,0.00316,0.000828086,0.000828086,0.000828086
89,2151.67,0.68202,0.30512,0.00244,0.95361,0.91198,0.96683,0.76074,0.86379,0.34267,0.00303,0.00082611,0.00082611,0.00082611
90,2175.82,0.68847,0.31326,0.0025,0.9386,0.90628,0.96517,0.73378,0.96543,0.37318,0.00331,0.000824134,0.000824134,0.000824134
91,2199.67,0.67193,0.29961,0.0024,0.96972,0.91121,0.95646,0.73048,0.93215,0.36693,0.00327,0.000822158,0.000822158,0.000822158
92,2223.54,0.66445,0.29702,0.00235,0.96616,0.92609,0.96634,0.75259,0.89637,0.32267,0.00311,0.000820182,0.000820182,0.000820182
93,2247.49,0.69679,0.31231,0.0025,0.95513,0.92218,0.9705,0.75505,0.89229,0.31205,0.00307,0.000818206,0.000818206,0.000818206
94,2271.67,0.66521,0.29059,0.00236,0.96335,0.91097,0.9569,0.75831,0.84673,0.34136,0.00301,0.00081623,0.00081623,0.00081623
95,2295.48,0.67448,0.28553,0.00245,0.93076,0.91771,0.96402,0.76228,0.8466,0.35195,0.00304,0.000814254,0.000814254,0.000814254
96,2319.67,0.65926,0.29547,0.00235,0.93504,0.91002,0.96043,0.77189,0.81942,0.35662,0.00291,0.000812278,0.000812278,0.000812278
97,2344.03,0.67544,0.29028,0.00242,0.95171,0.91738,0.9622,0.71989,1.00115,0.34422,0.00341,0.000810302,0.000810302,0.000810302
98,2368.05,0.67876,0.28717,0.00239,0.91489,0.92068,0.96113,0.76789,0.81221,0.36403,0.00285,0.000808326,0.000808326,0.000808326
99,2391.98,0.6705,0.30089,0.0024,0.9726,0.92758,0.96634,0.7151,1.03838,0.3438,0.0035,0.00080635,0.00080635,0.00080635
100,2415.89,0.66517,0.29008,0.00237,0.94497,0.91235,0.96091,0.73728,0.92868,0.3503,0.00323,0.000804374,0.000804374,0.000804374
101,2439.97,0.67835,0.28816,0.00245,0.96481,0.93446,0.97167,0.73422,0.97655,0.30707,0.00336,0.000802398,0.000802398,0.000802398
102,2463.86,0.66572,0.29432,0.00234,0.92738,0.93125,0.96099,0.7498,0.88539,0.34263,0.0031,0.000800422,0.000800422,0.000800422
103,2487.68,0.65062,0.29482,0.00233,0.966,0.92287,0.97122,0.77711,0.81287,0.29958,0.00285,0.000798446,0.000798446,0.000798446
104,2511.74,0.64644,0.29452,0.00229,0.95798,0.90964,0.95798,0.76692,0.82517,0.351,0.00291,0.00079647,0.00079647,0.00079647
105,2535.67,0.66469,0.29186,0.00235,0.97819,0.92692,0.97024,0.74989,0.91504,0.30877,0.00315,0.000794494,0.000794494,0.000794494
106,2559.48,0.68476,0.30306,0.00243,0.94076,0.91458,0.96307,0.77407,0.79813,0.33464,0.00282,0.000792518,0.000792518,0.000792518
107,2583.34,0.6317,0.2776,0.00225,0.95428,0.90606,0.96158,0.77099,0.80435,0.3463,0.00287,0.000790542,0.000790542,0.000790542
108,2607.31,0.69273,0.29844,0.00245,0.95366,0.92286,0.96518,0.76468,0.83956,0.34431,0.00298,0.000788566,0.000788566,0.000788566
109,2631.1,0.66245,0.29781,0.00236,0.90998,0.90748,0.95559,0.7555,0.85259,0.3968,0.00303,0.00078659,0.00078659,0.00078659
