epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,2192.05,0.76059,0.30375,0.00259,0.95447,0.89843,0.94293,0.75004,0.79298,0.32999,0.00309,0.0260282,0.00867607,0.0260282,0.00867607,0.0260282,0.00867607,0.0260282,0.00867607
69,2223.37,0.75097,0.2861,0.00256,0.92359,0.92813,0.93525,0.72879,0.8368,0.30855,0.00323,0.0259689,0.00865631,0.0259689,0.00865631,0.0259689,0.00865631,0.0259689,0.00865631
70,2254.81,0.7691,0.30808,0.00255,0.94658,0.90798,0.94184,0.756,0.80627,0.31523,0.00315,0.0259096,0.00863655,0.0259096,0.00863655,0.0259096,0.00863655,0.0259096,0.00863655
71,2286.59,0.71783,0.29204,0.00243,0.92779,0.90693,0.94028,0.71514,0.88642,0.32716,0.00344,0.0258504,0.00861679,0.0258504,0.00861679,0.0258504,0.00861679,0.0258504,0.00861679
72,2317.85,0.73108,0.29324,0.00245,0.92578,0.91059,0.94097,0.77089,0.76118,0.30701,0.00298,0.0257911,0.00859703,0.0257911,0.00859703,0.0257911,0.00859703,0.0257911,0.00859703
73,2349.56,0.71138,0.28926,0.00238,0.92737,0.91254,0.9411,0.75633,0.77013,0.30851,0.00302,0.0257318,0.00857727,0.0257318,0.00857727,0.0257318,0.00857727,0.0257318,0.00857727
74,2381,0.74218,0.28738,0.00253,0.9502,0.90467,0.94394,0.77008,0.76304,0.30955,0.00299,0.0256725,0.00855751,0.0256725,0.00855751,0.0256725,0.00855751,0.0256725,0.00855751
75,2412.72,0.72898,0.28564,0.00243,0.93952,0.91745,0.94596,0.76005,0.76678,0.31264,0.00301,0.0256132,0.00853775,0.0256132,0.00853775,0.0256132,0.00853775,0.0256132,0.00853775
76,2444.17,0.71044,0.28547,0.00241,0.93269,0.91834,0.94012,0.72922,0.87325,0.32505,0.00337,0.025554,0.00851799,0.025554,0.00851799,0.025554,0.00851799,0.025554,0.00851799
77,2475.9,0.6945,0.28819,0.00233,0.95255,0.90101,0.94304,0.76397,0.75704,0.33043,0.00298,0.0254947,0.00849822,0.0254947,0.00849822,0.0254947,0.00849822,0.0254947,0.00849822
78,2507.71,0.70786,0.29274,0.00234,0.93429,0.91194,0.94012,0.75393,0.80967,0.33838,0.00317,0.0254354,0.00847846,0.0254354,0.00847846,0.0254354,0.00847846,0.0254354,0.00847846
79,2539.27,0.70823,0.28356,0.00239,0.95713,0.90106,0.94114,0.75452,0.78868,0.29189,0.00309,0.0253761,0.0084587,0.0253761,0.0084587,0.0253761,0.0084587,0.0253761,0.0084587
80,2570.52,0.71854,0.29524,0.00242,0.93901,0.88703,0.92562,0.68002,1.02762,0.35396,0.00392,0.0253168,0.00843894,0.0253168,0.00843894,0.0253168,0.00843894,0.0253168,0.00843894
81,2602.01,0.69368,0.28107,0.00234,0.93825,0.91313,0.93011,0.64913,1.13374,0.38378,0.00429,0.0252576,0.00841918,0.0252576,0.00841918,0.0252576,0.00841918,0.0252576,0.00841918
82,2633.44,0.69315,0.28759,0.00236,0.93658,0.9132,0.93547,0.72349,0.87593,0.35292,0.00336,0.0251983,0.00839942,0.0251983,0.00839942,0.0251983,0.00839942,0.0251983,0.00839942
83,2664.86,0.71356,0.30068,0.00241,0.93123,0.89172,0.93156,0.74951,0.797,0.35806,0.00312,0.025139,0.00837966,0.025139,0.00837966,0.025139,0.00837966,0.025139,0.00837966
84,2696.34,0.70356,0.28302,0.00238,0.92471,0.92406,0.93435,0.71721,0.88872,0.33968,0.00343,0.0250797,0.0083599,0.0250797,0.0083599,0.0250797,0.0083599,0.0250797,0.0083599
